Charge Code,,Charge Description,Fee Schedule,,,,,,,,,,,,,,,,,,,,,,,,
CD000087,,US INTRAVAS/COR 1ST VESSEL,"$3,819.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000088,,VALVULOPLASTY BALLN-AORTIC,"$10,264.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000089,,VALVULOPLASTY BALLN-MITRAL,"$26,797.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000090,,VALVULOPLASTY PULMONARY,"$26,797.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000092,,ECHO COLOR FETAL,$969.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000093,,MAPPING 3-D INTRA-CARDIAC,"$17,946.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000099,,CATH PROC RT HEART CONGENITAL,"$10,940.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000100,,CATH PROC RT/LT HEART CONGENI,"$10,940.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000101,,CATH PROC RT/LT HEART TRANS C,"$10,940.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000102,,CATH PROC RT/LT HEART ASD RET,"$10,940.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000103,,OCCLUSN SEPTAL DEFECT ATRIAL,"$22,463.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000104,,OCCLUSN SEPTAL DEFECT VENT,"$21,569.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000105,,PTA PULMONARY ARTERY,"$23,896.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000107,,ECG/MONITORING/ANALYSIS 30 DAY,$172.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000108,,INTRAVAS BLD FLOW VELOCITY,"$3,646.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000109,,INTRAVAS BLD FLOW VELOCITY ADD,"$3,675.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000110,,THROMBECTOMY CORONORY ADD-ON,"$4,551.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000113,,ECHO TRANSTHOR 2D W/M-MODE COMPLETE,"$4,594.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000114,,INTERROGATION VAD IN PERSON,$310.00,,,,,,,,,,,,,,,,,,,,,,,,
CD000115,,CATH PROC COR ANGIO GRAFTS,"$18,952.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000116,,CATH PROC RHC CORS,"$13,281.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000117,,CATH PROC RHC CORS GRAFTS,"$14,618.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000118,,CATH PROC LHC CORS LV,"$22,545.00",,,,,,,,,,,,,,,,,,,,,,,,
CD000119,,CATH PROC LHC CORS LV GRAFT,"$23,879.00",,,,,,,,,,,,,,,,,,,,,,,,
