BILL ITEM ID,LONG DESCRIPTION,CPT-4,HCPCS,REVENUE, TMMC Standard Price Schedule ,TMMC OP Lab Price Schedule
7932055,Stent BVS Absorb RX 2.5X12 1234250-12,,C1874,278," $5,100.00 ",
7932056,Stent BVS Absorb RX 2.5X18 1234250-18,,C1874,278," $5,100.00 ",
7932057,Stent BVS Absorb RX 2.5X23 1234250-23,,C1874,278," $5,100.00 ",
7932058,Stent BVS Absorb RX 2.5X28 1234250-28,,C1874,278," $5,100.00 ",
7932059,Stent BVS Absorb RX 3.0X8 1234300-08,,C1874,278," $5,100.00 ",
7932060,Stent BVS Absorb RX 3.0X12 1234300-12,,C1874,278," $5,100.00 ",
7932061,Stent BVS Absorb RX 3.0X18 1234300-18,,C1874,278," $5,100.00 ",
7932062,Stent BVS Absorb RX 3.0X23 1234300-23,,C1874,278," $5,100.00 ",
7932063,Stent BVS Absorb RX 3.0X28 1234300-28,,C1874,278," $5,100.00 ",
7932064,Stent BVS Absorb RX 3.5X12 1234350-12,,C1874,278," $5,100.00 ",
7932065,Stent BVS Absorb RX 3.5X18 1234350-18,,C1874,278," $5,100.00 ",
7932066,Stent BVS Absorb RX 3.5X23 1234350-23,,C1874,278," $5,100.00 ",
7932067,Stent BVS Absorb RX 3.5X28 1234350-28,,C1874,278," $5,100.00 ",
7933935,STNT BVS ABSORB RX 2.5X8 1235250-08,,C1874,278," $5,100.00 ",
7933936,STNT BVS ABSORB RX 2.5X12 1235250-12,,C1874,278," $5,100.00 ",
7933937,STNT BVS ABSORB RX 2.5X23 1235250-23,,C1874,278," $5,100.00 ",
7933938,STNT BVS ABSORB RX 2.5X28 1235250-28,,C1874,278," $5,100.00 ",
7933939,STNT BVS ABSORB RX 3.0X8 1235300-08,,C1874,278," $5,100.00 ",
7933940,STNT BVS ABSORB RX 3.0X12 1235300-12,,C1874,278," $5,100.00 ",
7933941,STNT BVS ABSORB RX 3.0X18 1235300-18,,C1874,278," $5,100.00 ",
7933942,STNT BVS ABSORB RX 3.0X23 1235300-23,,C1874,278," $5,100.00 ",
7933943,STNT BVS ABSORB RX 3.0X28 1235300-28,,C1874,278," $5,100.00 ",
