2019 Detailed Line Item,
" $2,012.00 ",Biopsy of small bowel using an endoscope
 $550.00 ,Biopsy of tongue
 $176.00 ,Biopsy of uterine lining
" $1,490.00 ",Biopsy or removal of nasal polyp or tissue using an endoscope
 $0.09 ,BISACODYL 10 MG RECTAL SUPPOSITORY [26910]
 $0.03 ,"BISACODYL 5 MG TABLET,DELAYED RELEASE [5759]"
 $0.01 ,BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSPENSION [47305]
 $2.33 ,BISOPROLOL FUMARATE 5 MG TABLET [28177]
 $7.00 ,BISOPROLOL-HYDROCHLOROTHIAZIDE
" $1,002.75 ","Bladder instillation of cancer preventive, inhibiting, or suppressive agent"
 $258.00 ,Bladder irrigation and/or instillation
 $90.88 ,BLEOMYCIN 30 UNIT SOLUTION FOR INJECTION [1354]
 $95.25 ,Blood chloride level
 $79.00 ,Blood creatinine level
 $310.50 ,Blood gases measurement
 $65.25 ,Blood glucose (sugar) level
 $88.75 ,Blood glucose (sugar) level after receiving dose of glucose
 $59.25 ,Blood glucose (sugar) measurement using reagent strip
 $15.00 ,Blood glucose (sugar) test performed by hand-held instrument
 $189.50 ,Blood glucose (sugar) tolerance test
 $125.00 ,Blood group typing (ABO)
 $110.75 ,Blood osmolality (concentration) measurement
 $75.25 ,Blood pH level
 $75.25 ,Blood potassium level
 $65.25 ,Blood sodium level
 $136.00 ,"Blood test panel for electrolytes (sodium potassium, chloride, carbon dioxide)"
 $158.25 ,"Blood test, basic group of blood chemicals"
 $49.00 ,"Blood test, clotting time"
 $230.00 ,"Blood test, comprehensive group of blood chemicals"
 $186.25 ,"Blood test, lipids (cholesterol and triglycerides)"
 $136.00 ,"Blood test, thyroid stimulating hormone (TSH)"
 $304.25 ,Blood typing for red blood cell antigens
 $49.00 ,Blood typing for Rh (D) antigen
 $175.00 ,Blood unit compatibility test
 $88.75 ,Blood viscosity measurement
 $138.75 ,Body fluid cell count with cell identification
 $24.25 ,Body fluid pH level
 $0.25 ,Body pos current status
 $0.25 ,Body pos d/c status
 $0.25 ,Body pos goal status
" $2,597.50 ","Bone and/or joint imaging, 3 phase study"
" $2,104.50 ","Bone and/or joint imaging, whole body"
 $466.75 ,Bone density measurement using dedicated X-ray machine
" $2,045.25 ",Bone marrow biopsy
" $1,989.39 ",BORTEZOMIB 3.5 MG SOLUTION FOR INJECTION [53024]
 $703.75 ,BRAVO PH CAPSULE
 $45.89 ,BREXPIPRAZOLE 0.5 MG TABLET [147953]
 $45.89 ,BREXPIPRAZOLE 1 MG TABLET [147954]
 $45.89 ,BREXPIPRAZOLE 4 MG TABLET [147957]
 $36.26 ,BRIMONIDINE 0.1 % EYE DROPS [86277]
 $38.66 ,BRIMONIDINE 0.15 % EYE DROPS [49362]
 $3.75 ,BRIMONIDINE 0.2 % EYE DROPS [40132]
 $392.00 ,"BRINZOLAMIDE 1% OPHTH DPS, 10M"
 $7.00 ,BROMOCRIPTINE 2.5MG TAB
" $4,020.75 ",BRONCHOSCOPY DIAGNOSTIC
" $4,020.75 ",BRONCHOSCOPY FLEX W/BIOPSY
" $4,020.75 ",BRONCHOSCOPY FLEX W/BRUSHING
" $4,020.75 ",BRONCHOSCOPY W/NEEDLE ASP/BX
 $4.87 ,BUDESONIDE 0.25 MG/2 ML SUSPENSION FOR NEBULIZATION [48023]
 $5.73 ,BUDESONIDE 0.5 MG/2 ML SUSPENSION FOR NEBULIZATION [48076]
 $0.84 ,BUMETANIDE 0.25 MG/ML INJECTION SOLUTION [3333]
 $0.42 ,BUMETANIDE 1 MG TABLET [5999]
 $0.07 ,BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJECTION SOLUTION [3287]
 $0.23 ,BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJECTION SOLUTION [3290]
 $0.26 ,BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJECTION SOLUTION [3292]
