Kaweah Delta Health Care District,,
CDM Listing as of June 2018,,
,,
,,
ITEM NUMBER,DESCRIPTION, UNIT PRICE 
2502498,Protamine 250Mg/25Ml Inj, $7.84 
2502500,Goserelin Ace 3.6Mg Inj," $2,192.00 "
2502501,Dextrose 50%/Water (0.5Gm/Ml) (Stat), $-   
2502502,Dextrose 10% In Water (Stat), $-   
2502505,Iv Kcl 20Meq/50Ml Iv, $2.11 
2502506,Iv Kcl 10Meq/50Ml Iv, $4.29 
2502507,Nicardipine 25Mg/10Ml Inj, $112.40 
2502508,Epoprostenol Inhald Prtcl (Stat), $-   
2502509,Midazolam 5Mg/1Ml Inj, $1.94 
2502510,Phtyonadione 10Mg/1Ml Inj, $20.21 
2502511,Sodium Hyaluronate Inj, $848.20 
2502512,Lidocaine 4% 5Ml Inj, $1.47 
2502513,Milrinone 20Mg/100Ml Bag, $18.20 
2502515,Dextrose 25Prc 10Ml Iv, $49.45 
2502516,Irinotecan 20Mg/Ml 5Ml Iv, $66.99 
2502517,Ketoralac 15Mg/1Ml Inj, $25.45 
2502518,Rho Immune Glob 300Mcg Iv, $62.15 
2502519,Enalaprilat 1.25Mg/1Ml Iv, $20.35 
2502520,Abciximab 2Mg/Ml 5Ml Inj," $4,794.05 "
2502521,Chondroitin 0.5Ml Syr, $702.65 
2502522,Rho Immune Glob 300Mcg Im, $478.83 
2502524,Cisatracurium 2Mg/Ml 10Ml, $153.50 
2502525,Fosphenytoin 100Mg/2Ml Iv, $41.85 
2502526,Tetanus Diptheria Inj Ped, $225.95 
2502529,Adenosine 3Mg/Ml 30Ml Inj, $10.32 
2502530,Epoetin Alpha 1000Units I, $113.20 
2502532,Lidocaine 1% 5Ml Inj Sdv, $10.38 
2502533,Lidocaine 2% 5Ml Epidural, $19.35 
2502535,Botulinum Tox Typ A 100Un, $23.06 
2502538,Idarubicin 5Mg Inj, $459.55 
2502539,Idarubicin 20Mg Inj, $459.53 
2502540,Sod Biacrb 4.2Pc 10Ml Syr, $57.85 
2502541,Piperacillin/Tazo 3.375Gm, $17.77 
2502542,Famotidine 20Mg/2Ml Inj, $9.70 
2502543,Leuprolide Acetate 22.5Mg," $4,686.03 "
2502545,Iv Ns Kcl 20Meq/L, $2.56 
2502546,Iv D5Ns Kcl 20Meq/L, $5.13 
2502547,Iv D5Lr Kcl 20Meq/L, $4.85 
2502549,Iv Ns Kcl 40Meq/L, $2.89 
2502550,Iv D5Ns Kcl 40Meq/L, $3.91 
2502551,Vinorelbine 10Mg/1Ml Inj, $139.50 
2502552,Insulin Regular Drip, $0.32 
2502554,Trace Metals 1Ml Inj, $100.79 
2502555,Heparin 1000Units/1Ml Inj, $27.20 
2502556,Topotecan 4Mg Inj, $32.78 
2502557,Calcitonin 400Mg/2Ml Inj," $10,001.70 "
2502558,D5W 100Ml Bag Addvantage, $15.00 
2502559,D5W 50Ml Bag Addvantage, $10.45 
2502560,Sodium Chloride 0.9% Advantage (Stat), $-   
2502561,Sodium Chloride 0.9% Addvantage 50 Ml (Stat), $-   
2502562,Ampicillin 2Gm Inj, $19.54 
2502564,Erythromycin 500Mg Inj, $334.40 
2502565,Sodium Chloride 0.9% Addvantage 250 Ml (Stat), $-   
