,,,,,,,,,,,
Service or Items Charge Description,Short Description, Estimated Charge ,,Disclaimer:  These charge amounts are an estimate. The charge amounts you receive for the services provided may vary.,,,,,,,
"NF-LOVAZA 1GM ORAL CAPSULE, LIQUID FILLE",NF-LOVAZA 1GM, 14.22 ,,,,,,,,,
NF-LOVAZA LIQ CAP 1GM,NF-LOVAZA LIQ, 9.80 ,,,,,,,,,
NF-LOVAZA LIQ CAP 1GM,NF-LOVAZA LIQ, 9.80 ,,,,,,,,,
NF-Lovaza Oral Liquid Filled Capsule 1GM,NF-LOVAZA ORA, 4.00 ,,,,,,,,,
NF-Lovaza Oral Liquid Filled Capsule 1GM,NF-LOVAZA ORA, 4.00 ,,,,,,,,,
NF-LOVAZA ORAL LIQUID FILLED CAPSULE 1GM,NF-LOVAZA ORA, 5.32 ,,,,,,,,,
NF-LOVAZA ORAL LIQUID-FILLED CAPSULE 1GM,NF-LOVAZA ORA, 4.51 ,,,,,,,,,
NF-LOXAPINE CAPSULE 50MG,NF-LOXAPINE C, 9.28 ,,,,,,,,,
NF-Loxapine Oral Capsule 50MG,NF-LOXAPINE O, 6.00 ,,,,,,,,,
NF-LOXITANE 10MG ORAL CAPSULE,NF-LOXITANE 1, 8.43 ,,,,,,,,,
NF-LUBRIFRESH P.M. OPHTHALMIC OINTMENT,NF-LUBRIFRESH, 6.69 ,,,,,,,,,
NF-LUMIGAN 0.01% OPHTHALMIC SOLUTION,NF-LUMIGAN 0., 182.49 ,,,,,,,,,
NF-LUMIGAN OPHTH SOLN 0.01%,NF-LUMIGAN OP, 139.74 ,,,,,,,,,
NF-LUMIGAN OPHTH SOLUTION 0.01%,NF-LUMIGAN OP, 139.81 ,,,,,,,,,
NF-Lumigan Ophth Solution 0.01%,NF-LUMIGAN OP, 284.00 ,,,,,,,,,
NF-Lumigan Ophth Solution 0.01%,NF-LUMIGAN OP, 284.00 ,,,,,,,,,
NF-Lumigan Ophth Solution 0.01%,NF-LUMIGAN OP, 284.00 ,,,,,,,,,
NF-Lumigan Ophth Solution 0.01%,NF-LUMIGAN OP, 284.00 ,,,,,,,,,
NF-LUNESTA 3MG ORAL TABLET,NF-LUNESTA 3M, 48.30 ,,,,,,,,,
NF-LUNESTA 3MG ORAL TABLET,NF-LUNESTA 3M, 61.82 ,,,,,,,,,
NF-LUNESTA ORAL TABLET 1MG,NF-LUNESTA OR, 30.77 ,,,,,,,,,
NF-LUNESTA ORAL TABLET 2MG,NF-LUNESTA OR, 30.89 ,,,,,,,,,
NF-LUVOX CR CAP ER 150MG,NF-LUVOX CR C, 23.39 ,,,,,,,,,
NF-LYCOPENE TABLET 10MG,NF-LYCOPENE T, 0.69 ,,,,,,,,,
NF-LYRICA 100MG ORAL CAPSULE,NF-LYRICA 100, 13.94 ,,,,,,,,,
NF-LYRICA 100MG ORAL CAPSULE,NF-LYRICA 100, 17.45 ,,,,,,,,,
NF-LYRICA 100MG ORAL CAPSULE,NF-LYRICA 100, 22.76 ,,,,,,,,,
NF-LYRICA 100MG ORAL CAPSULE,NF-LYRICA 100, 25.87 ,,,,,,,,,
NF-LYRICA 100MG ORAL CAPSULE,NF-LYRICA 100, 31.73 ,,,,,,,,,
NF-LYRICA 100MG ORAL CAPSULE,NF-LYRICA 100, 46.24 ,,,,,,,,,
NF-LYRICA 150MG ORAL CAPSULE,NF-LYRICA 150, 14.59 ,,,,,,,,,
NF-LYRICA 150MG ORAL CAPSULE,NF-LYRICA 150, 15.87 ,,,,,,,,,
NF-LYRICA 150MG ORAL CAPSULE,NF-LYRICA 150, 15.95 ,,,,,,,,,
NF-LYRICA 200MG ORAL CAPSULE,NF-LYRICA 200, 12.27 ,,,,,,,,,
NF-LYRICA 225MG ORAL CAPSULE,NF-LYRICA 225, 24.31 ,,,,,,,,,
NF-LYRICA 300MG ORAL CAPSULE,NF-LYRICA 300, 20.80 ,,,,,,,,,
NF-LYRICA 300MG ORAL CAPSULE,NF-LYRICA 300, 23.57 ,,,,,,,,,
NF-LYRICA 300MG ORAL CAPSULE,NF-LYRICA 300, 43.55 ,,,,,,,,,
NF-LYRICA CAP 150MG,NF-LYRICA CAP, 9.36 ,,,,,,,,,
NF-LYRICA CAP 300MG,NF-LYRICA CAP, 10.92 ,,,,,,,,,
NF-LYRICA CAP 75MG,NF-LYRICA CAP, 9.36 ,,,,,,,,,
NF-LYRICA CAP 75MG,NF-LYRICA CAP, 9.36 ,,,,,,,,,
NF-Lyrica Oral Capsule 225MG,NF-LYRICA ORA, 29.00 ,,,,,,,,,
NF-LYSINE 500 TABLET 500MG,NF-LYSINE 500, 0.09 ,,,,,,,,,
NF-MAALOX 225MG/5ML-200MG/5ML ORAL SUSPE,NF-MAALOX 225, 0.04 ,,,,,,,,,
NF-MAALOX 225MG-200MG/5ML ORAL SUSPENSIO,NF-MAALOX 225, 0.04 ,,,,,,,,,
NF-MACROBID CAP 100MG,NF-MACROBID C, 7.88 ,,,,,,,,,
NF-MACROBID CAP 100MG,NF-MACROBID C, 10.59 ,,,,,,,,,
NF-MACROBID CAP 100MG,NF-MACROBID C, 11.58 ,,,,,,,,,
NF-Macrobid Capsule 100MG,NF-MACROBID C, 15.00 ,,,,,,,,,
NF-Macrobid Capsule 100MG,NF-MACROBID C, 15.00 ,,,,,,,,,
NF-MACRODANTIN 100MG ORAL CAPSULE,NF-MACRODANTI, 14.15 ,,,,,,,,,
NF-MAG DELAY TABLET 64MG,NF-MAG DELAY, 0.43 ,,,,,,,,,
NF-MAG-AL LIQUID 200MG-200MG/5ML ORAL SU,NF-MAG-AL LIQ, 0.11 ,,,,,,,,,
NF-MAGNESIUM 250MG ORAL TABLET,NF-MAGNESIUM, 0.11 ,,,,,,,,,
NF-MAGNESIUM CHELATED TABLET 100MG,NF-MAGNESIUM, 0.14 ,,,,,,,,,
NF-MAGNESIUM GLUCONATE TABLET 500MG,NF-MAGNESIUM, 0.47 ,,,,,,,,,
NF-MAGNESIUM SULFATE-DEXTROSE IV SOLN 2G,NF-MAGNESIUM, 0.25 ,,,,,,,,,
NF-MAGNESIUM SULFATE-DEXTROSE IV SOLN 2G,NF-MAGNESIUM, 73.98 ,,,,,,,,,
NF-MAG-OX 400 TAB 400MG,NF-MAG-OX 400, 0.79 ,,,,,,,,,
NF-MAG-OX 400 TAB 400MG,NF-MAG-OX 400, 0.79 ,,,,,,,,,
NF-MARINOL CAPSULE 10MG,NF-MARINOL CA, 49.73 ,,,,,,,,,
NF-MARINOL CAPSULE 2.5MG,NF-MARINOL CA, 13.01 ,,,,,,,,,
NF-MAXALT TAB 10MG,NF-MAXALT TAB, 71.30 ,,,,,,,,,
NF-MAXALT-MLT DISINTEGRATING TAB 10MG,NF-MAXALT-MLT, 115.58 ,,,,,,,,,
NF-MAXZIDE 37.5MG-25MG ORAL TABLET,NF-MAXZIDE 37, 1.62 ,,,,,,,,,
NF-MAXZIDE 50MG-75MG ORAL TABLET,NF-MAXZIDE 50, 3.99 ,,,,,,,,,
NF-MAXZIDE TAB 75MG-50MG,NF-MAXZIDE TA, 3.16 ,,,,,,,,,
NF-MECLIZINE 12.5MG ORAL TABLET,NF-MECLIZINE, 3.59 ,,,,,,,,,
NF-MECLIZINE 12.5MG ORAL TABLET,NF-MECLIZINE, 3.59 ,,,,,,,,,
NF-MECLIZINE 25MG ORAL TABLET,NF-MECLIZINE, 2.38 ,,,,,,,,,
"NF-MECLIZINE 25MG ORAL TABLET, CHEWABLE",NF-MECLIZINE, 3.53 ,,,,,,,,,
NF-MECLIZINE HCL 12.5MG ORAL TABLET,NF-MECLIZINE, 1.18 ,,,,,,,,,
NF-MECLIZINE HCL 25 MG ORAL TABLET,NF-MECLIZINE, 1.45 ,,,,,,,,,
NF-MECLIZINE HCL 25MG ORAL TABLET,NF-MECLIZINE, 2.00 ,,,,,,,,,
NF-MECLIZINE HCL 25MG ORAL TABLET,NF-MECLIZINE, 2.12 ,,,,,,,,,
NF-MECLIZINE HCL ORAL TABLET 12.5MG,NF-MECLIZINE, 0.94 ,,,,,,,,,
NF-MECLIZINE HCL ORAL TABLET 12.5MG,NF-MECLIZINE, 1.18 ,,,,,,,,,
NF-MECLIZINE HCL ORAL TABLET 12.5MG,NF-MECLIZINE, 1.18 ,,,,,,,,,
NF-MECLIZINE HCL ORAL TABLET 12.5MG,NF-MECLIZINE, 1.55 ,,,,,,,,,
NF-MECLIZINE HCL ORAL TABLET 25MG,NF-MECLIZINE, 1.45 ,,,,,,,,,
NF-MEDERMA GEL/JELLY,NF-MEDERMA GE, 1.83 ,,,,,,,,,
NF-MEDFIX EZ DRESSING RETENTION ROLL,NF-MEDFIX EZ, 10.26 ,,,,,,,,,
NF-MEDROL TAB 4MG,NF-MEDROL TAB, 6.02 ,,,,,,,,,
NF-MEDROX PATCH ER 20%-5%-0.0375%,NF-MEDROX PAT, 104.69 ,,,,,,,,,
NF-MEDROXYPROGESTERONE ACETATE IM 150MG/,NF-MEDROXYPRO, 402.77 ,,,,,,,,,
NF-MEDROXYPROGESTERONE ACETATE MICRO POW,NF-MEDROXYPRO, 44.76 ,,,,,,,,,
NF-MEGACE ES ORAL SUSPENSION 625MG/5ML,NF-MEGACE ES, 16.89 ,,,,,,,,,
NF-MEGACE SUSPENSION 40MG/ML,NF-MEGACE SUS, 2.56 ,,,,,,,,,
NF-MEGESTROL ACETATE 40MG ORAL TABLET,NF-MEGESTROL, 3.78 ,,,,,,,,,
NF-MEGESTROL ACETATE ORAL SUSP 40MG/1ML,NF-MEGESTROL, 1.53 ,,,,,,,,,
NF-MEGESTROL ACETATE ORAL SUSP 40MG/1ML,NF-MEGESTROL, 1.53 ,,,,,,,,,
NF-MEGESTROL ACETATE ORAL SUSP 40MG/1ML,NF-MEGESTROL, 1.53 ,,,,,,,,,
NF-MEGESTROL ACETATE TAB 40MG,NF-MEGESTROL, 4.22 ,,,,,,,,,
NF-MEKINIST ORAL TABLET 2MG,NF-MEKINIST O," 1,483.39 ",,,,,,,,,
NF-MELATONIN 3MG,NF-MELATONIN, 0.13 ,,,,,,,,,
NF-MELATONIN 3MG,NF-MELATONIN, 0.13 ,,,,,,,,,
NF-MELATONIN 3MG ORAL CAPSULE,NF-MELATONIN, 0.40 ,,,,,,,,,
NF-MELATONIN CAPSULE 1MG,NF-MELATONIN, 0.20 ,,,,,,,,,
NF-MELATONIN CAPSULE 1MG,NF-MELATONIN, 0.20 ,,,,,,,,,
NF-MELATONIN CAPSULE 1MG,NF-MELATONIN, 0.20 ,,,,,,,,,
NF-MELATONIN CAPSULE 5MG,NF-MELATONIN, 0.54 ,,,,,,,,,
NF-MELATONIN ORAL TABLET 5MG,NF-MELATONIN, 0.31 ,,,,,,,,,
NF-MELATONIN TABLET 5MG,NF-MELATONIN, 0.34 ,,,,,,,,,
NF-MELOXICAM 15MG ORAL TABLET,NF-MELOXICAM, 0.76 ,,,,,,,,,
NF-MELOXICAM 15MG ORAL TABLET,NF-MELOXICAM, 17.20 ,,,,,,,,,
NF-MELOXICAM 15MG ORAL TABLET,NF-MELOXICAM, 17.49 ,,,,,,,,,
NF-MELOXICAM 15MG ORAL TABLET,NF-MELOXICAM, 25.23 ,,,,,,,,,
NF-MELOXICAM ORAL TAB 15MG,NF-MELOXICAM, 18.26 ,,,,,,,,,
NF-MELOXICAM ORAL TABLET 15MG,NF-MELOXICAM, 25.23 ,,,,,,,,,
NF-MELOXICAM ORAL TABLET 7.5MG,NF-MELOXICAM, 14.79 ,,,,,,,,,
NF-MEMANTINE HCL 5MG ORAL TABLET,NF-MEMANTINE, 22.03 ,,,,,,,,,
NF-Memantine HCl Oral Capsule ER 28MG,NF-MEMANTINE, 55.00 ,,,,,,,,,
NF-MEMANTINE HCL ORAL TABLET 10MG,NF-MEMANTINE, 22.03 ,,,,,,,,,
NF-Memantine HCl Oral Tablet 5MG,NF-MEMANTINE, 22.00 ,,,,,,,,,
NF-MEN'S MULTIVITAMIN/MULTIMINERAL,NF-MEN'S MULT, 0.28 ,,,,,,,,,
NF-MEPERIDINE HCL INJ SOLN 50MG/1ML,NF-MEPERIDINE, 3.37 ,,,,,,,,,
NF-MESTINON TABLET 60MG,NF-MESTINON T, 2.88 ,,,,,,,,,
NF-METAGLIP TABLET 5MG-500MG,NF-METAGLIP T, 4.87 ,,,,,,,,,
NF-METAMUCIL FIBER 3.4GM/1DOSE,NF-METAMUCIL, 0.07 ,,,,,,,,,
NF-METAMUCIL MULTIHEALTH FIBER 3.4GM/1DO,NF-METAMUCIL, 0.12 ,,,,,,,,,
NF-Metamucil MultiHealth Fiber 3.4GM/1Do,NF-METAMUCIL, 1.00 ,,,,,,,,,
NF-METANX 2.8MG-2MG-25MG ORAL TABLET,NF-METANX 2.8, 4.74 ,,,,,,,,,
NF-METANX ORAL TABLET 2.8MG-2MG-25MG,NF-METANX ORA, 6.59 ,,,,,,,,,
NF-METANX ORAL TABLET 2.8MG-2MG-25MG,NF-METANX ORA, 8.50 ,,,,,,,,,
NF-METAXALONE 800MG ORAL TABLET,NF-METAXALONE, 18.39 ,,,,,,,,,
NF-METAXALONE ORAL TABLET 800MG,NF-METAXALONE, 17.66 ,,,,,,,,,
NF-METFORMIN 1000MG ORAL TABLET,NF-METFORMIN, 5.21 ,,,,,,,,,
NF-METFORMIN 1000MG ORAL TABLET,NF-METFORMIN, 5.39 ,,,,,,,,,
NF-METFORMIN 1000MG ORAL TABLET,NF-METFORMIN, 5.39 ,,,,,,,,,
NF-METFORMIN 1000MG ORAL TABLET,NF-METFORMIN, 6.02 ,,,,,,,,,
NF-METFORMIN 850MG ORAL TABLET,NF-METFORMIN, 4.33 ,,,,,,,,,
NF-METFORMIN 850MG ORAL TABLET,NF-METFORMIN, 4.44 ,,,,,,,,,
NF-METFORMIN ER ORAL TAB ER 500MG,NF-METFORMIN, 1.29 ,,,,,,,,,
NF-METFORMIN HCL 1000MG ORAL TABLET,NF-METFORMIN, 2.99 ,,,,,,,,,
NF-METFORMIN HCL 1000MG ORAL TABLET,NF-METFORMIN, 5.07 ,,,,,,,,,
NF-METFORMIN HCL 1000MG ORAL TABLET,NF-METFORMIN, 5.21 ,,,,,,,,,
NF-METFORMIN HCL 1000MG ORAL TABLET,NF-METFORMIN, 5.23 ,,,,,,,,,
NF-METFORMIN HCL 1000MG ORAL TABLET,NF-METFORMIN, 8.30 ,,,,,,,,,
"NF-METFORMIN HCL 1000MG ORAL TABLET, EXT",NF-METFORMIN, 113.35 ,,,,,,,,,
"NF-METFORMIN HCL 500 MG ORAL TABLET, EXT",NF-METFORMIN, 2.69 ,,,,,,,,,
NF-METFORMIN HCL 500MG ORAL TABLET,NF-METFORMIN, 2.41 ,,,,,,,,,
NF-METFORMIN HCL 500MG ORAL TABLET,NF-METFORMIN, 2.53 ,,,,,,,,,
"NF-METFORMIN HCL 750MG ORAL TABLET, EXTE",NF-METFORMIN, 4.32 ,,,,,,,,,
NF-METFORMIN HCL 850MG ORAL TABLET,NF-METFORMIN, 4.30 ,,,,,,,,,
NF-METFORMIN HCL EXTENDED-RELEASE TAB 50,NF-METFORMIN, 2.69 ,,,,,,,,,
NF-METFORMIN HCL EXTENDED-RELEASE TAB 50,NF-METFORMIN, 2.79 ,,,,,,,,,
NF-METFORMIN HCL ORAL TAB ER 500MG,NF-METFORMIN, 2.69 ,,,,,,,,,
NF-METFORMIN HCL ORAL TAB ER 500MG,NF-METFORMIN, 2.69 ,,,,,,,,,
NF-METFORMIN HCL ORAL TAB ER 500MG,NF-METFORMIN, 2.71 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 1000MG,NF-METFORMIN, 5.24 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 1000MG,NF-METFORMIN, 5.28 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 1000MG,NF-METFORMIN, 7.50 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 500MG,NF-METFORMIN, 2.56 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 500MG,NF-METFORMIN, 3.59 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 850MG,NF-METFORMIN, 4.20 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 850MG,NF-METFORMIN, 4.31 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 850MG,NF-METFORMIN, 4.32 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 850MG,NF-METFORMIN, 4.32 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 850MG,NF-METFORMIN, 4.99 ,,,,,,,,,
NF-METFORMIN HCL ORAL TABLET 850MG,NF-METFORMIN, 5.16 ,,,,,,,,,
NF-METFORMIN HCL TABLET 1000MG,NF-METFORMIN, 3.23 ,,,,,,,,,
NF-METFORMIN HYDROCHLORIDE 1000MG ORAL T,NF-METFORMIN, 5.23 ,,,,,,,,,
NF-METFORMIN HYDROCHLORIDE 750MG ORAL TA,NF-METFORMIN, 4.32 ,,,,,,,,,
NF-METHADONE 10MG ORAL TABLET,NF-METHADONE, 1.00 ,,,,,,,,,
NF-METHADONE 5MG ORAL TABLET,NF-METHADONE, 1.07 ,,,,,,,,,
NF-METHADONE HCL 40MG ORAL TABLET FOR SU,NF-METHADONE, 1.07 ,,,,,,,,,
NF-METHADONE HCL 40MG ORAL TABLET FOR SU,NF-METHADONE, 1.54 ,,,,,,,,,
NF-METHADONE HCL CONCENTRATE 10MG/ML,NF-METHADONE, 0.38 ,,,,,,,,,
NF-METHADONE HCL SOLN 10MG/5ML,NF-METHADONE, 0.50 ,,,,,,,,,
NF-METHADONE HCL TAB 10MG,NF-METHADONE, 1.00 ,,,,,,,,,
NF-METHADONE HCL TAB 40MG,NF-METHADONE, 1.35 ,,,,,,,,,
NF-METHADONE HCL TAB 40MG,NF-METHADONE, 4.41 ,,,,,,,,,
NF-METHADONE HYDROCHLORIDE 40MG ORAL TAB,NF-METHADONE, 4.51 ,,,,,,,,,
NF-METHENAMINE HIPPURATE 1GM TABLET,NF-METHENAMIN, 7.55 ,,,,,,,,,
NF-METHENAMINE MANDELATE 1GM ORAL TABLET,NF-METHENAMIN, 6.01 ,,,,,,,,,
NF-METHENAMINE MANDELATE ORAL TABLET 1GM,NF-METHENAMIN, 5.96 ,,,,,,,,,
NF-METHIMAZOLE 10MG ORAL TABLET,NF-METHIMAZOL, 2.77 ,,,,,,,,,
NF-METHIMAZOLE 10MG ORAL TABLET,NF-METHIMAZOL, 2.77 ,,,,,,,,,
NF-METHIMAZOLE ORAL TABLET 10MG,NF-METHIMAZOL, 2.77 ,,,,,,,,,
NF-METHIMAZOLE ORAL TABLET 5MG,NF-METHIMAZOL, 1.60 ,,,,,,,,,
NF-METHOCARBAMOL  TAB  750MG,NF-METHOCARBA, 0.54 ,,,,,,,,,
NF-METHOCARBAMOL 750MG ORAL TABLET,NF-METHOCARBA, 2.82 ,,,,,,,,,
NF-METHOCARBAMOL ORAL TABLET 500MG,NF-METHOCARBA, 2.68 ,,,,,,,,,
NF-METHOCARBAMOL ORAL TABLET 500MG,NF-METHOCARBA, 2.68 ,,,,,,,,,
NF-METHOCARBAMOL ORAL TABLET 500MG,NF-METHOCARBA, 2.68 ,,,,,,,,,
NF-METHOCARBAMOL ORAL TABLET 500MG,NF-METHOCARBA, 3.03 ,,,,,,,,,
NF-METHOCARBAMOL ORAL TABLET 500MG,NF-METHOCARBA, 3.03 ,,,,,,,,,
NF-METHOTREXATE ORAL TABLET 2.5MG,NF-METHOTREXA, 3.95 ,,,,,,,,,
NF-METHYLIN TAB 10MG,NF-METHYLIN T, 1.75 ,,,,,,,,,
NF-METHYLPHENIDATE HCL 20MG ORAL TABLET,NF-METHYLPHEN, 5.47 ,,,,,,,,,
NF-METHYLPHENIDATE HCL ORAL TABLET 5MG,NF-METHYLPHEN, 5.11 ,,,,,,,,,
NF-METHYLPHENIDATE HCL TAB 10MG,NF-METHYLPHEN, 9.32 ,,,,,,,,,
NF-Methylphenidate Oral Tab ER 10MG,NF-METHYLPHEN, 7.00 ,,,,,,,,,
NF-METHYLPREDNISOLONE ACETATE TAB 4MG,NF-METHYLPRED, 5.72 ,,,,,,,,,
NF-METHYLPREDNISOLONE ORAL TABLET 4MG,NF-METHYLPRED, 2.88 ,,,,,,,,,
NF-METHYLPREDNISOLONE ORAL TABLET 4MG,NF-METHYLPRED, 3.21 ,,,,,,,,,
NF-METHYLPREDNISOLONE ORAL TABLET 4MG,NF-METHYLPRED, 5.95 ,,,,,,,,,
NF-METHYLPREDNISOLONE SODIUM SUCCINATE 1,NF-METHYLPRED, 40.43 ,,,,,,,,,
NF-METOCLOPRAMIDE 5MG ORAL TABLET,NF-METOCLOPRA, 0.95 ,,,,,,,,,
NF-METOCLOPRAMIDE 5MG ORAL TABLET,NF-METOCLOPRA, 1.20 ,,,,,,,,,
NF-Metoclopramide Disintegrating Tab 10M,NF-METOCLOPRA, 34.00 ,,,,,,,,,
NF-Metoclopramide Disintegrating Tab 10M,NF-METOCLOPRA, 34.00 ,,,,,,,,,
NF-METOCLOPRAMIDE HCL TAB 10MG,NF-METOCLOPRA, 1.52 ,,,,,,,,,
NF-METOLAZONE ORAL TABLET 10MG,NF-METOLAZONE, 14.17 ,,,,,,,,,
NF-METOLAZONE ORAL TABLET 2.5MG,NF-METOLAZONE, 5.08 ,,,,,,,,,
NF-metOLazone Oral Tablet 5MG,NF-METOLAZONE, 5.00 ,,,,,,,,,
NF-metOLazone Oral Tablet 5MG,NF-METOLAZONE, 5.00 ,,,,,,,,,
NF-METOLAZONE ORAL TABLET 5MG,NF-METOLAZONE, 5.45 ,,,,,,,,,
NF-METOLAZONE ORAL TABLET 5MG,NF-METOLAZONE, 8.57 ,,,,,,,,,
NF-METOLAZONE ORAL TABLET 5MG,NF-METOLAZONE, 11.82 ,,,,,,,,,
NF-METOPROLOL AND HCTZ TABLET 100MG-25MG,NF-METOPROLOL, 6.40 ,,,,,,,,,
NF-METOPROLOL ORAL TABLET 25MG,NF-METOPROLOL, 5.00 ,,,,,,,,,
NF-METOPROLOL ORAL TABLET 50MG,NF-METOPROLOL, 2.82 ,,,,,,,,,
NF-METOPROLOL SUCC XL ORAL TAB ER 100MG,NF-METOPROLOL, 13.89 ,,,,,,,,,
NF-METOPROLOL SUCC XL ORAL TAB ER 200MG,NF-METOPROLOL, 16.92 ,,,,,,,,,
NF-METOPROLOL SUCC XL ORAL TAB ER 50MG,NF-METOPROLOL, 10.62 ,,,,,,,,,
NF-METOPROLOL SUCCINATE 100MG ORAL TABLE,NF-METOPROLOL, 5.19 ,,,,,,,,,
NF-METOPROLOL SUCCINATE 200MG ORAL TABLE,NF-METOPROLOL, 12.75 ,,,,,,,,,
NF-METOPROLOL SUCCINATE 25MG ORAL TABLET,NF-METOPROLOL, 3.15 ,,,,,,,,,
NF-METOPROLOL SUCCINATE 25MG ORAL TABLET,NF-METOPROLOL, 3.15 ,,,,,,,,,
NF-METOPROLOL SUCCINATE 50MG ORAL TABLET,NF-METOPROLOL, 3.26 ,,,,,,,,,
NF-METOPROLOL SUCCINATE 50MG ORAL TABLET,NF-METOPROLOL, 4.43 ,,,,,,,,,
NF-METOPROLOL SUCCINATE ORAL TAB ER 100M,NF-METOPROLOL, 5.19 ,,,,,,,,,
NF-METOPROLOL SUCCINATE ORAL TAB ER 25MG,NF-METOPROLOL, 3.04 ,,,,,,,,,
NF-METOPROLOL SUCCINATE ORAL TAB ER 25MG,NF-METOPROLOL, 9.79 ,,,,,,,,,
NF-METOPROLOL SUCCINATE ORAL TAB ER 25MG,NF-METOPROLOL, 15.63 ,,,,,,,,,
NF-Metoprolol Succinate Tab ER 100MG,NF-METOPROLOL, 5.00 ,,,,,,,,,
NF-METOPROLOL TARTRATE 100MG ORAL TABLET,NF-METOPROLOL, 0.64 ,,,,,,,,,
NF-METOPROLOL TARTRATE 100MG ORAL TABLET,NF-METOPROLOL, 2.89 ,,,,,,,,,
NF-METOPROLOL TARTRATE 100MG ORAL TABLET,NF-METOPROLOL, 3.38 ,,,,,,,,,
NF-METOPROLOL TARTRATE 100MG ORAL TABLET,NF-METOPROLOL, 3.94 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.09 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.39 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.70 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.76 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.81 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.82 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.85 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.85 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.97 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.97 ,,,,,,,,,
NF-METOPROLOL TARTRATE 25MG ORAL TABLET,NF-METOPROLOL, 0.97 ,,,,,,,,,
NF-METOPROLOL TARTRATE 50MG ORAL TABLET,NF-METOPROLOL, 1.96 ,,,,,,,,,
NF-METOPROLOL TARTRATE 50MG ORAL TABLET,NF-METOPROLOL, 2.00 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET,NF-METOPROLOL, 2.13 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET,NF-METOPROLOL, 2.13 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 100MG,NF-METOPROLOL, 3.44 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 25MG,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 25MG,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 25MG,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 25MG,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 25MG,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 25MG,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 25MG,NF-METOPROLOL, 0.89 ,,,,,,,,,
NF-METOPROLOL TARTRATE ORAL TABLET 25MG,NF-METOPROLOL, 0.91 ,,,,,,,,,
NF-METOPROLOL TARTRATE TAB 25MG,NF-METOPROLOL, 1.00 ,,,,,,,,,
NF-METOPROLOL TARTRATE TAB 25MG,NF-METOPROLOL, 10.31 ,,,,,,,,,
NF-METOPROLOL TARTRATE TABLET 25MG,NF-METOPROLOL, 0.88 ,,,,,,,,,
NF-METROGEL VAGINAL GEL 0.75%,NF-METROGEL V, 7.38 ,,,,,,,,,
NF-METROGEL-VAGINAL VAGINAL GEL 0.75%,NF-METROGEL-V, 2.98 ,,,,,,,,,
NF-METRONIDAZOLE 0.75% TOPICAL APPLICATI,NF-METRONIDAZ, 25.27 ,,,,,,,,,
