amyl nitrite 0.3 mL solution 144 each AMPUL,$1.66 
anagrelide 0.5 mg capsule 100 each Bottle,$113.98 
ANASTOMOTIC INSTRUMENT TI TIP,"$9,141.75 "
anastrozole 1 mg tablet 1 each BLIST PACK,$21.16 
anastrozole 1 mg tablet 30 each Bottle,$136.26 
ANATOMIC TI MATRIX L-PL 3X3 H SHORT 0.7,"$2,170.35 "
ANCHOR + INSERTER CINCHLOCK,"$3,717.90 "
ANCHOR 5.0MM TITANIUM ALLTHREAD III W/TAPERED NEED,"$2,334.15 "
ANCHOR ALL PEEK 5.5 NUMBER 2,"$1,608.75 "
ANCHOR BIO W/HERC 2 DISP DRIV,"$1,468.35 "
ANCHOR BIOCORK FT#2FIBER5.5X15,$316.78 
ANCHOR BIOKNOTLESS 1 PAN,"$2,428.69 "
ANCHOR BIOKNOTLESS RC 2 PAN,"$3,264.30 "
ANCHOR BIOKNOTLESS W/ORTHOCORD RAPIED,"$3,229.20 "
ANCHOR BIOPUSH LOCK 2.9MMX10.7MM,"$2,000.70 "
ANCHOR BIOPUSH LOCK 3.5MMX14MM,"$2,000.70 "
ANCHOR CINCH,$451.35 
ANCHOR CLIK,"$2,581.88 "
ANCHOR CORKSCREW 3.5,"$1,583.89 "
ANCHOR CORKSCREW BIO 6.5MM,"$1,444.95 "
ANCHOR FASTACK 2.8X11.7 W/HAND,"$1,000.35 "
ANCHOR FASTACK CORKSCREW 3.5MM,"$1,000.35 "
ANCHOR FASTACK CORKSCREW 5MM,"$1,000.35 "
ANCHOR FASTACK SPEAR,$574.13 
ANCHOR FASTACK SPEAR 2,$581.40 
ANCHOR FASTIN RC 2 ETH GR/WH,"$1,804.49 "
ANCHOR FASTIN RC 6.5 2 ETH,"$1,827.19 "
ANCHOR FIX TISSUE BAND 2 KNOT PUSHERS SYSTEM,"$5,235.75 "
ANCHOR FOOTPRINT 4.5,"$2,767.05 "
ANCHOR FOOTPRINT 5.5MM,"$2,767.05 "
ANCHOR GII W/ORTHOCORD CP2,"$2,363.40 "
ANCHOR GRYPHON W/ORTHOCORD,"$2,462.85 "
ANCHOR HEALIK PEEK 5.5MM,"$1,901.25 "
ANCHOR HEALIX ADVANCE KNOTLESS PEEK 6.5MM,"$2,345.85 "
ANCHOR HEALIX BR 5.5 W/ORTHOCORD AND NEEDLE,"$1,725.75 "
ANCHOR HEALIX BR W/ORTHOCORD,"$2,158.65 "
ANCHOR HEALIX KNOTLESS 4.5,"$7,812.00 "
ANCHOR HEALIX KNOTLESS 5.5,"$2,018.25 "
ANCHOR HEALIX KNOTLESS 6.5,"$3,439.80 "
ANCHOR HEALIX PEEK 4.5,"$1,901.25 "
ANCHOR HELIX BR 6.5 W/ORTHOCORD,"$1,725.75 "
ANCHOR IMPLANT DUAL THREADED 12.5 X 35MM,"$9,300.00 "
ANCHOR IMPLANT DUAL THREADED 12.5 X 40MM,"$9,506.65 "
ANCHOR INJEX BUMPY IMP,"$1,608.75 "
ANCHOR LUPINE LOOP W/ORTHO,"$1,433.25 "
ANCHOR LUPINE W/DUAL ORTH CORD,"$2,942.55 "
ANCHOR MINI REVO 2.7X8.5P/L 2ST,$877.50 
ANCHOR MULTIFIX S 5.5,"$2,691.00 "
ANCHOR PEEK KNOTLESS 4.5MM W/TITANIUM-TIP QUATTRO,"$4,207.50 "
ANCHOR PEEK SUTURE 2.9MM QUATTRO GL2,"$3,021.75 "
ANCHOR PEEK SUTURE 6.5MM QUATTRO X,"$3,098.25 "
ANCHOR PEG GLENOID 40MM,"$7,885.80 "
ANCHOR QUICK GII 2 ETH CP-2,"$2,293.20 "
ANCHOR QUICK MICRO +3 W/DR BIT,"$2,287.35 "
ANCHOR QUICK MICRO 4/0 ETH C-1,"$2,199.60 "
ANCHOR QUICK MINI,"$2,293.20 "
ANCHOR QUICK MINI W/O ETHIBOND,"$2,293.20 "
ANCHOR QUICK SUPER,"$1,804.49 "
ANCHOR QUICK SUPER 2 SUTURE,"$2,299.05 "
ANCHOR REVO W/HERC 2 5MM KIT,"$1,193.40 "
ANCHOR SCREW 3.0M SNGL LOAD TI,"$3,217.50 "
ANCHOR SCREW 5MM TITANIUM W/NEEDLE,"$2,363.40 "
ANCHOR SHOULDER 52MM SZ 48,"$7,885.80 "
ANCHOR SPARTAN PEEK,"$1,608.75 "
ANCHOR SUTURE 2.4X8.5MM MINI BIOCOMPOSITE SUTURETA,"$1,806.19 "
ANCHOR SUTURE 2.8MM OBL,"$1,115.19 "
