Lakeland Community Hospital,,
Standard Charges,,
,,
SVCCD,Description,Price
111441,TAMOXIFEN 10MG T,$7.50 
111447,AZATHIOPRIN 50MG T,$12.00 
111463,PILOCAR OS 4% GEL 4M,$324.00 
111464,BETAXO OS 0.5% 5ML,$143.50 
111471,LEVOBUNO OS 0.5% 5ML,$60.00 
111481,CAPSAICIN 0.025% CR,$55.00 
111488,MESALAM 4GM\60ML EN,$31.50 
111489,URSODIOL 300MG C,$15.00 
111496,PERMETH 5% 60GM CR,$163.50 
111506,MESALAMINE 400MG T,$6.50 
111516,BETAM DIP LOT 60ML,$56.00 
111518,BETAM VAL 0.1% CR 15,$42.50 
111531,DESONIDE CR 0.05% 15,$19.50 
111539,DEXAMETH .75MG T,$4.50 
111541,DEXAMETH 4MG T,$4.50 
111542,DEXAMETH 1MG(20) J,$2.25 
111543,DECADRON PF10MG/ML V,$95.00 
111552,FLUDROCOR 0.1MG T,$5.50 
111558,FLUOCIN 0.05 CR 15GM,$33.00 
111577,IBUPROFEN 400MG T,$17.50 
111579,INDOMETH 25MG C,$17.50 
111588,METHYLPRED 4MG T,$12.00 
111589,NAPROXEN 250MG T,$12.00 
111594,NAPROXEN 500NG T,$12.00 
111597,PIROXICAM 20MG C,$14.50 
111601,PREDNISOL 1% 5ML OS,$9.00 
111609,PREDNISONE 5MG (2),$3.00 
111611,PREDNISONE 5MG(4) T,$3.00 
111614,PREDNISONE 5MG T,$3.00 
111619,SULINDAC 150MG T,$5.50 
111621,SULINDAC 200MG T,$7.50 
111626,TRIAMCIN 0.025 15 CR,$19.00 
111629,TRIAMCIN DENTAL 5GM,$205.50 
111631,METHYLPRD4MG(21)DPK,$60.00 
111633,IBUPROFEN 200MG T,$0.50 
111636,AURANOFIN 3MG CAP,$11.00 
111644,PREDNISONE 5MG(2) OL,$5.50 
111646,FLURBIPR 0.3% OS 2.5,$5.50 
111649,PREDNISOL 5MG(3) OL,$3.00 
111656,DICLOFEN SOD 50MG T,$12.00 
111657,DICLOFEN SOD 75MG T,$12.00 
111663,IBUPROFEN 20ML 5ML O,$1.00 
111668,NABUMETONE 500MG T,$14.00 
111677,OXAPROZIN 600MG T,$5.50 
111681,ASC AC 500MG T,$0.50 
111683,GLYBURIDE 3MG T,$5.50 
111689,FINASTERIDE 5MG T,$9.50 
111702,MIACALCIN NS,$195.50 
111704,CALCITRIOL 0.25MCG C,$12.00 
111718,GLIPIZIDE XL 5MG SRT,$6.50 
111721,ENSURE 240ML,$2.00 
111724,ESTRADIOL 1MG T,$5.50 
111726,ESTR CONJ 0.3MG T,$12.00 
111727,ESTR CONJ 0.62MG T,$12.00 
111728,ESTR CONJ 1.25MG T,$12.00 
111737,ESTR EST MTT 1.25\2.,$9.50 
111738,ESTROPIPATE 0.625MG,$12.00 
111757,FOLIC ACID 1MG T,$4.50 
111759,LEVOTHYROX 0.05MG T,$5.50 
111761,LEVOTHYROX 0.100MG T,$5.50 
111767,MEDROXYPR 10MG T,$9.50 
111768,MEDROXYPR 2.5MG T,$9.50 
111769,MEGESTR AC 40MG T,$12.00 
111771,METHIMA 10MG T,$8.50 
111776,MVI LIQ 5ML OL,$0.50 
111781,MVI MIN FE PRENATAL,$3.00 
111782,NIACIN 100MG T,$0.50 
111783,NIACIN 250MG SRC,$3.00 
111787,OSMOLITE 240ML,$6.50 
111792,POT CL 20% 15ML OL,$4.50 
111794,POT CL EFF 25MEQ T,$12.00 
111795,POT CHL10MEEQ/100ML,$56.00 
111801,PROPYLTHIOUR 50MG,$3.00 
111803,POT CL 8MEQ T,$12.00 
111809,PYRIDOXINE 50MG T,$0.50 
111816,THIAMINE 100MG T,$0.50 
111819,THYROID 60MG T,$11.00 
111836,VIT D 50000 UNITS C,$2.50 
111839,VIT E 400 UNITS C,$0.50 
111843,GLYBURIDE 2.5MG T,$5.50 
111846,GLYBURIDE 5MG T,$5.50 
111853,GLIPIZIDE 5MG T,$5.50 
111861,TRINSICON C,$5.50 
111864,GEVRABON 15ML,$0.50 
111871,PULMOCARE 240ML,$2.00 
111874,POT CL 20MEQ SRT,$12.00 
111879,ESTRADIOL TDP 0.1MG,$43.50 
111882,JEVITY 240ML,$6.50 
111884,MAG CL EL 64MG SRT,$0.50 
111887,LEVOTHYROX 0.112MG T,$5.50 
111892,SUPLENA 240ML,$6.50 
